;0;1;2;3;4;genre
137;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;rasin
138;caribbean_influenced;reggae;reggae;reggae;reggae;reggae
139;caribbean_influenced;reggae;reggae;reggae;reggae;dancehall
140;caribbean_influenced;reggae;reggae;reggae;reggae;dub
141;caribbean_influenced;reggae;reggae;reggae;reggae;lovers rock
142;caribbean_influenced;reggae;reggae;reggae;reggae;ragga
143;caribbean_influenced;reggae;reggae;reggae;reggae;ragga jungle
144;caribbean_influenced;reggae;reggae;reggae;reggae;reggae fusion
145;caribbean_influenced;reggae;reggae;reggae;reggae;reggaeton
146;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;rocksteady
147;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;rhumba
148;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;rumba
149;caribbean_influenced;ska;ska;ska;ska;ska
150;caribbean_influenced;ska;ska;ska;ska;2 tone
151;caribbean_influenced;ska;ska;ska;ska;ska punk
152;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;salsa
153;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;son cubano
154;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;songo
155;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;soca
156;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;timba
157;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;twoubadou
158;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;zouk
159;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced
160;comedy;comedy;comedy;comedy;comedy;comedy music
161;comedy;comedy;comedy;comedy;comedy;comedy rock
162;comedy;comedy;comedy;comedy;comedy;novelty music
163;comedy;comedy;comedy;comedy;comedy;parody music
164;comedy;comedy;comedy;comedy;comedy;comedy
165;country;alternative country;alternative country;alternative country;alternative country;alternative country
166;country;alternative country;alternative country;alternative country;alternative country;cowpunk
167;country;country;country;country;country;country blues
168;country;country;country;country;country;blues country
169;country;country;country;country;country;hokum
170;country;country;country;country;country;outlaw country
171;country;country;country;country;country;progressive country
172;country;country;country;country;country;zydeco
173;country;country;country;country;country;country rap
174;country;country;country;country;country;red dirt
175;country;rockabilly;rockabilly;rockabilly;rockabilly;rockabilly
176;country;rockabilly;rockabilly;rockabilly;rockabilly;hellbilly music
177;country;rockabilly;rockabilly;rockabilly;rockabilly;psychobilly
178;country;rockabilly;rockabilly;rockabilly;rockabilly;punkabilly
179;country;country;country;country;country;country rock
180;country;country;country;country;country;texas country
181;country;country;country;country;country;americana
182;country;country;country;country;country;australian country music
183;country;country;country;country;country;bakersfield sound
184;country;bluegrass;bluegrass;bluegrass;bluegrass;bluegrass
185;country;bluegrass;bluegrass;bluegrass;bluegrass;progressive bluegrass
186;country;bluegrass;bluegrass;bluegrass;bluegrass;reactionary bluegrass
187;country;cajun;cajun;cajun;cajun;cajun
188;country;cajun;cajun;cajun;cajun;cajun fiddle
189;country;cajun;cajun;cajun;cajun;cajun fiddle tunes
190;country;country;country;country;country;christian country music
191;country;country;country;country;country;classic country
192;country;country;country;country;country;close harmony
193;country;country;country;country;country;dansband music
194;country;country;country;country;country;franco-countr
195;country;country;country;country;country;honky tonk
196;country;country;country;country;country;instrumental country
197;country;country;country;country;country;nashville sound
198;country;country;country;country;country;neotraditional country
199;country;country;country;country;country;country pop
200;country;country;country;country;country;sertanejo
201;country;country;country;country;country;traditional country music
202;country;country;country;country;country;truck-driving country
203;country;country;country;country;country;western swing
204;country;country;country;country;country;country
205;easy_listening;easy_listening;easy_listening;easy_listening;easy_listening;background music
206;easy_listening;easy_listening;easy_listening;easy_listening;easy_listening;beautiful music
207;easy_listening;easy_listening;easy_listening;easy_listening;easy_listening;elevator music
208;easy_listening;easy_listening;easy_listening;easy_listening;easy_listening;furniture music
209;easy_listening;easy_listening;easy_listening;easy_listening;easy_listening;lounge music
210;easy_listening;easy_listening;easy_listening;easy_listening;easy_listening;middle of the road
211;easy_listening;easy_listening;easy_listening;easy_listening;easy_listening;new-age music
212;easy_listening;easy_listening;easy_listening;easy_listening;easy_listening;easy_listening
213;electronic;ambient;ambient;ambient;ambient;ambient
214;electronic;ambient;ambient;ambient;ambient;ambient dub
215;electronic;ambient;ambient;ambient;ambient;dark ambient
216;electronic;ambient;ambient;ambient;ambient;drone music
217;electronic;ambient;ambient;ambient;ambient;space music
218;electronic;ambient;ambient;ambient;ambient;illbient
219;electronic;ambient;ambient;ambient;ambient;psybient
220;electronic;ambient;ambient;ambient;ambient;isolationism
221;electronic;ambient;ambient;ambient;ambient;lowercase
222;electronic;electronic;electronic;electronic;electronic;asian underground
223;electronic;breakbeat;breakbeat;breakbeat;breakbeat;breakbeat
224;electronic;breakbeat;breakbeat;breakbeat;breakbeat;acid breaks
225;electronic;breakbeat;breakbeat;breakbeat;breakbeat;baltimore club
226;electronic;breakbeat;breakbeat;breakbeat;breakbeat;big beat
227;electronic;breakbeat;breakbeat;breakbeat;breakbeat;broken beat
228;electronic;breakbeat;florida breaks;florida breaks;florida breaks;florida breaks
229;electronic;breakbeat;florida breaks;florida breaks;florida breaks;nu-funk
230;electronic;breakbeat;florida breaks;florida breaks;florida breaks;miami bass
231;electronic;breakbeat;breakbeat;breakbeat;breakbeat;jersey club
232;electronic;breakbeat;breakbeat;breakbeat;breakbeat;nu skool breaks
233;electronic;disco;disco;disco;disco;disco
234;electronic;disco;disco;disco;disco;afro disc
235;electronic;disco;disco;disco;disco;cosmic disco
236;electronic;disco;disco;disco;disco;disco polo
237;electronic;disco;disco;disco;disco;euro disco
238;electronic;disco;disco;disco;disco;italo disco
239;electronic;disco;disco;disco;disco;nu-disco
240;electronic;disco;disco;disco;disco;space disco
241;electronic;downtempo;downtempo;downtempo;downtempo;downtempo
242;electronic;downtempo;downtempo;downtempo;downtempo;acid jazz
243;electronic;downtempo;downtempo;downtempo;downtempo;chill-out
244;electronic;downtempo;new-age music;new-age music;new-age music;new-age music
245;electronic;downtempo;new-age music;new-age music;new-age music;space music
246;electronic;downtempo;downtempo;downtempo;downtempo;trip hop
247;electronic;drum and bass;drum and bass;drum and bass;drum and bass;drum and bass
248;electronic;drum and bass;drum and bass;drum and bass;drum and bass;darkstep
249;electronic;drum and bass;drum and bass;drum and bass;drum and bass;drill and bass
250;electronic;drum and bass;drum and bass;drum and bass;drum and bass;drumstep
251;electronic;drum and bass;drum and bass;drum and bass;drum and bass;funkstep
252;electronic;drum and bass;drum and bass;drum and bass;drum and bass;hardstep
253;electronic;drum and bass;drum and bass;drum and bass;drum and bass;jump-up
254;electronic;drum and bass;drum and bass;drum and bass;drum and bass;liquid funk
255;electronic;drum and bass;drum and bass;drum and bass;drum and bass;neurofunk
256;electronic;drum and bass;drum and bass;drum and bass;drum and bass;neurohop
257;electronic;drum and bass;drum and bass;drum and bass;drum and bass;sambass
258;electronic;drum and bass;drum and bass;drum and bass;drum and bass;techstep
259;electronic;electronic;electronic;electronic;electronic;dub
260;electronic;electro music;electro music;electro music;electro music;electro music
261;electronic;electro music;electro music;electro music;electro music;freestyle music
262;electronic;electroacoustic music;electroacoustic music;electroacoustic music;electroacoustic music;electroacoustic music
263;electronic;electroacoustic music;electroacoustic music;electroacoustic music;electroacoustic music;acousmatic music
264;electronic;electroacoustic music;electroacoustic music;electroacoustic music;electroacoustic music;musique concrète
265;electronic;electronic rock;electronic rock;electronic rock;electronic rock;electronic rock
266;electronic;electronic rock;alternative dance;alternative dance;alternative dance;alternative dance
267;electronic;electronic rock;alternative dance;alternative dance;alternative dance;indietronica
268;electronic;electronic rock;electronic rock;electronic rock;electronic rock;coldwave
269;electronic;electronic rock;electronic rock;electronic rock;electronic rock;dance-punk
270;electronic;electronic rock;electronic rock;electronic rock;electronic rock;dark wave
271;electronic;electronic rock;electronic rock;electronic rock;electronic rock;electroclash
272;electronic;electronic rock;electronic rock;electronic rock;electronic rock;electronicore
273;electronic;electronic rock;electronic rock;electronic rock;electronic rock;electropunk
274;electronic;electronic rock;electronic rock;electronic rock;electronic rock;ethereal wave
275;electronic;electronic rock;electronic rock;electronic rock;electronic rock;krautrock
276;electronic;electronic rock;electronic rock;electronic rock;electronic rock;minimal wave
277;electronic;electronic rock;electronic rock;electronic rock;electronic rock;new rave
278;electronic;electronic rock;electronic rock;electronic rock;electronic rock;nu-gaze
279;electronic;electronic rock;electronic rock;electronic rock;electronic rock;space rock
280;electronic;electronic rock;synthpop;synthpop;synthpop;synthpop
281;electronic;electronic rock;synthpop;synthpop;synthpop;synthwave
282;electronic;electronica;electronica;electronica;electronica;electronica
283;electronic;electronica;electronica;electronica;electronica;berlin school
284;electronic;electronica;electronica;electronica;electronica;dubtronica
285;electronic;electronica;electronica;electronica;electronica;ethnic electronica
286;electronic;electronica;electronica;electronica;electronica;folktronica
287;electronic;electronica;electronica;electronica;electronica;funktronica
288;electronic;electronica;electronica;electronica;electronica;laptronica
289;electronic;electronica;electronica;electronica;electronica;livetronica
290;electronic;hardcore;hardcore;hardcore;hardcore;hardcore
291;electronic;hardcore;hardcore;hardcore;hardcore;gabba
292;electronic;hardcore;hardcore;hardcore;hardcore;4-beat
293;electronic;hardcore;hardcore;hardcore;hardcore;breakbeat hardcore
294;electronic;hardcore;hardcore;hardcore;hardcore;bouncy techno
295;electronic;hardcore;hardcore;hardcore;hardcore;breakcore
296;electronic;hardcore;hardcore;hardcore;hardcore;digital hardcore
297;electronic;hardcore;hardcore;hardcore;hardcore;darkcore
298;electronic;hardcore;hardcore;hardcore;hardcore;happy hardcore
